Protocol,Server Set Size,Client Set Size,Server Preprocessing Time,Online Total Time (ms),Online Computation Time (ms),Online Communication Time (ms),Comm. Data Size
PSI,2^24,2^8,75.403145,115.149,102.604,12.543,64.5361
PSI Cardinality,2^24,2^8,75.403145,114.495,101.601,12.891,64.5078
PSI Update,2^24,2^8,75.403145,123.814,101.663,13.024,64.5361
PSU,2^24,2^8,75.403145,114.763,102.537,12.224,64.5078
PSU Cardinality,2^24,2^8,75.403145,115.915,103.352,12.561,64.5078
PSU Update,2^24,2^8,75.403145,268.425,245.989,13.194,64.5078
PSI,2^24,2^9,75.403145,216.758,194.518,22.237,128.316
PSI Cardinality,2^24,2^9,75.403145,200.773,178.285,22.485,128.258
PSI Update,2^24,2^9,75.403145,208.415,177.157,22.204,128.316
PSU,2^24,2^9,75.403145,199.531,178.065,21.463,128.258
PSU Cardinality,2^24,2^9,75.403145,200.608,178.739,21.867,128.258
PSU Update,2^24,2^9,75.403145,227.011,195.726,22.035,128.258
PSI,2^24,2^10,75.403145,395.007,353.671,41.333,256.379
PSI Cardinality,2^24,2^10,75.403145,418.063,377.364,40.696,256.258
PSI Update,2^24,2^10,75.403145,425.960,376.665,40.097,256.379
PSU,2^24,2^10,75.403145,433.516,392.261,41.253,256.258
PSU Cardinality,2^24,2^10,75.403145,442.206,401.007,41.196,256.258
PSU Update,2^24,2^10,75.403145,446.662,393.105,41.628,256.258
PSI,2^26,2^8,366.271811,109.651,97.132,12.516,64.2852
PSI Cardinality,2^26,2^8,366.271811,109.170,97.145,12.023,64.2578
PSI Update,2^26,2^8,366.271811,119.853,97.025,13.148,64.2852
PSU,2^26,2^8,366.271811,110.110,97.078,13.029,64.2578
PSU Cardinality,2^26,2^8,366.271811,109.417,97.114,12.290,64.2578
PSU Update,2^26,2^8,366.271811,658.043,632.262,13.550,64.2578
PSI,2^26,2^9,366.271811,208.097,186.257,21.838,128.316
PSI Cardinality,2^26,2^9,366.271811,214.138,192.507,21.628,128.258
PSI Update,2^26,2^9,366.271811,225.284,192.724,22.831,128.316
PSU,2^26,2^9,366.271811,214.046,191.965,22.079,128.258
PSU Cardinality,2^26,2^9,366.271811,214.880,192.505,22.371,128.258
PSU Update,2^26,2^9,366.271811,232.712,200.943,21.866,128.258
PSI,2^26,2^10,366.271811,417.000,375.567,41.430,256.379
PSI Cardinality,2^26,2^10,366.271811,423.637,381.914,41.719,256.258
PSI Update,2^26,2^10,366.271811,433.413,380.814,40.900,256.379
PSU,2^26,2^10,366.271811,388.402,347.139,41.260,256.258
PSU Cardinality,2^26,2^10,366.271811,389.808,348.368,41.438,256.258
PSU Update,2^26,2^10,366.271811,409.415,358.956,40.735,256.258
PSI,2^28,2^8,1845.416422,107.258,94.375,12.879,64.2852
PSI Cardinality,2^28,2^8,1845.416422,106.742,94.489,12.250,64.2578
PSI Update,2^28,2^8,1845.416422,116.224,93.002,12.328,64.2852
PSU,2^28,2^8,1845.416422,106.480,94.054,12.424,64.2578
PSU Cardinality,2^28,2^8,1845.416422,106.315,93.721,12.590,64.2578
PSU Update,2^28,2^8,1845.416422,2231.910,2209.100,11.753,64.2578
PSI,2^28,2^9,1845.416422,201.038,178.711,22.323,128.316
PSI Cardinality,2^28,2^9,1845.416422,201.138,178.566,22.569,128.258
PSI Update,2^28,2^9,1845.416422,211.474,178.380,22.144,128.316
PSU,2^28,2^9,1845.416422,201.935,178.768,23.164,128.258
PSU Cardinality,2^28,2^9,1845.416422,202.129,179.603,22.522,128.258
PSU Update,2^28,2^9,1845.416422,222.020,190.004,21.227,128.258
PSI,2^28,2^10,1845.416422,389.908,348.711,41.193,256.379
PSI Cardinality,2^28,2^10,1845.416422,427.534,386.181,41.350,256.258
PSI Update,2^28,2^10,1845.416422,442.789,385.652,40.784,256.379
PSU,2^28,2^10,1845.416422,426.153,385.219,40.930,256.258
PSU Cardinality,2^28,2^10,1845.416422,426.610,385.040,41.567,256.258
PSU Update,2^28,2^10,1845.416422,452.651,400.122,41.486,256.258
